"ZCTA5","ZIPNAME","COUNTY","CBSA","CBSA_NAME","MSA","MSA_NAME"
"98359","OLALLA","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98360","ORTING","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98360","ORTING","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98360","ORTING","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98360","ORTING","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98361","PACKWOOD","Lewis WA","16500","Centralia, WA","16500"," "
"98362","PORT ANGELES","Clallam WA","38820","Port Angeles, WA","38820"," "
"98362","PORT ANGELES","Clallam WA","38820","Port Angeles, WA","38820"," "
"98363","98363","Clallam WA","38820","Port Angeles, WA","38820"," "
"98363","98363","Clallam WA","38820","Port Angeles, WA","38820"," "
"98363","98363","Clallam WA","38820","Port Angeles, WA","38820"," "
"98363","98363","Clallam WA","38820","Port Angeles, WA","38820"," "
"98364","PORT GAMBLE","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98365","PORT LUDLOW","Jefferson WA",NA," ",NA," "
"98366","SOUTH PARK VILLA","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98367","98367","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98368","PORT TOWNSEND","Jefferson WA",NA," ",NA," "
"98368","PORT TOWNSEND","Jefferson WA",NA," ",NA," "
"98370","POULSBO","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98370","POULSBO","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98370","POULSBO","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98371","PUYALLUP","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98371","PUYALLUP","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98372","PUYALLUP","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98373","PUYALLUP","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98373","PUYALLUP","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98374","PUYALLUP","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98374","PUYALLUP","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98375","98375","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98375","98375","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98376","QUILCENE","Jefferson WA",NA," ",NA," "
"98376","QUILCENE","Jefferson WA",NA," ",NA," "
"98376","QUILCENE","Jefferson WA",NA," ",NA," "
"98377","RANDLE","Lewis WA","16500","Centralia, WA","16500"," "
"98377","RANDLE","Lewis WA","16500","Centralia, WA","16500"," "
"98380","SEABECK","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98380","SEABECK","Mason WA","43220","Shelton, WA","43220"," "
"98381","SEKIU","Clallam WA","38820","Port Angeles, WA","38820"," "
"98382","SEQUIM","Clallam WA","38820","Port Angeles, WA","38820"," "
"98382","SEQUIM","Clallam WA","38820","Port Angeles, WA","38820"," "
"98382","SEQUIM","Jefferson WA",NA," ",NA," "
"98383","SILVERDALE","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98383","SILVERDALE","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98385","SOUTH PRAIRIE","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98387","SPANAWAY","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98387","SPANAWAY","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98387","SPANAWAY","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98387","SPANAWAY","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98388","STEILACOOM","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98390","BONNEY LAKE","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98390","BONNEY LAKE","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98392","SUQUAMISH","Kitsap WA","14740","Bremerton-Silverdale, WA","14740"," "
"98394","VAUGHN","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98396","WILKESON","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98396","WILKESON","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"983XX","983XX","Clallam WA","38820","Port Angeles, WA","38820"," "
"983XX","983XX","Clallam WA","38820","Port Angeles, WA","38820"," "
"983XX","983XX","Jefferson WA",NA," ",NA," "
"983XX","983XX","Jefferson WA",NA," ",NA," "
"983XX","983XX","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98402","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98403","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98404","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98405","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98406","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98407","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98408","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98409","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98421","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98422","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98424","FIFE","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98433","FORT LEWIS","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98439","LAKEWOOD CENTER","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98439","LAKEWOOD CENTER","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98443","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98444","PARKLAND","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98445","PARKLAND","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98446","PARKLAND","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98446","PARKLAND","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98465","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98466","FIRCREST","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98467","TACOMA","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98498","LAKEWOOD CENTER","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98499","LAKEWOOD CENTER","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98501","OLYMPIA","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98501","OLYMPIA","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98501","OLYMPIA","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98502","OLYMPIA","Mason WA","43220","Shelton, WA","43220"," "
"98502","OLYMPIA","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98502","OLYMPIA","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98503","LACEY","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98503","LACEY","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98506","LACEY","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98512","OLYMPIA","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98512","OLYMPIA","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98512","OLYMPIA","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98513","LACEY","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98513","LACEY","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98513","LACEY","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98516","LACEY","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98516","LACEY","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98520","ABERDEEN","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98520","ABERDEEN","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98520","ABERDEEN","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98520","ABERDEEN","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98524","ALLYN","Mason WA","43220","Shelton, WA","43220"," "
"98526","AMANDA PARK","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98526","AMANDA PARK","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98527","BAY CENTER","Pacific WA",NA," ",NA," "
"98528","BEAR CREEK","Mason WA","43220","Shelton, WA","43220"," "
"98528","BEAR CREEK","Mason WA","43220","Shelton, WA","43220"," "
"98528","BEAR CREEK","Mason WA","43220","Shelton, WA","43220"," "
"98530","BUCODA","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98531","CENTRALIA","Lewis WA","16500","Centralia, WA","16500"," "
"98531","CENTRALIA","Lewis WA","16500","Centralia, WA","16500"," "
"98531","CENTRALIA","Lewis WA","16500","Centralia, WA","16500"," "
"98531","CENTRALIA","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98532","CHEHALIS","Lewis WA","16500","Centralia, WA","16500"," "
"98532","CHEHALIS","Lewis WA","16500","Centralia, WA","16500"," "
"98532","CHEHALIS","Lewis WA","16500","Centralia, WA","16500"," "
"98532","CHEHALIS","Lewis WA","16500","Centralia, WA","16500"," "
"98532","CHEHALIS","Lewis WA","16500","Centralia, WA","16500"," "
"98532","CHEHALIS","Lewis WA","16500","Centralia, WA","16500"," "
"98532","CHEHALIS","Lewis WA","16500","Centralia, WA","16500"," "
"98533","CINEBAR","Lewis WA","16500","Centralia, WA","16500"," "
"98535","COPALIS BEACH","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98536","COPALIS CROSSING","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98537","COSMOPOLIS","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98537","COSMOPOLIS","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98537","COSMOPOLIS","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98537","COSMOPOLIS","Pacific WA",NA," ",NA," "
"98537","COSMOPOLIS","Pacific WA",NA," ",NA," "
"98538","CURTIS","Lewis WA","16500","Centralia, WA","16500"," "
"98538","CURTIS","Lewis WA","16500","Centralia, WA","16500"," "
"98539","DOTY","Lewis WA","16500","Centralia, WA","16500"," "
"98541","ELMA","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98541","ELMA","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98541","ELMA","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98541","ELMA","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98541","ELMA","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98541","ELMA","Mason WA","43220","Shelton, WA","43220"," "
"98541","ELMA","Mason WA","43220","Shelton, WA","43220"," "
"98542","ETHEL","Lewis WA","16500","Centralia, WA","16500"," "
"98546","GRAPEVIEW","Mason WA","43220","Shelton, WA","43220"," "
"98546","GRAPEVIEW","Mason WA","43220","Shelton, WA","43220"," "
"98547","GRAYLAND","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98547","GRAYLAND","Pacific WA",NA," ",NA," "
"98548","HOODSPORT","Mason WA","43220","Shelton, WA","43220"," "
"98550","HOQUIAM","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98550","HOQUIAM","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98550","HOQUIAM","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98550","HOQUIAM","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98552","HUMPTULIPS","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98552","HUMPTULIPS","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98552","HUMPTULIPS","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98555","LILLIWAUP","Mason WA","43220","Shelton, WA","43220"," "
"98557","MC CLEARY","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98559","MALONE","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98560","MATLOCK","Mason WA","43220","Shelton, WA","43220"," "
"98562","MOCLIPS","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98562","MOCLIPS","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98563","MONTESANO","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98563","MONTESANO","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98563","MONTESANO","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98563","MONTESANO","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98563","MONTESANO","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98564","MOSSYROCK","Lewis WA","16500","Centralia, WA","16500"," "
"98565","NAPAVINE","Lewis WA","16500","Centralia, WA","16500"," "
"98568","OAKVILLE","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98568","OAKVILLE","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98568","OAKVILLE","Lewis WA","16500","Centralia, WA","16500"," "
"98569","OCEAN CITY","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98570","ONALASKA","Lewis WA","16500","Centralia, WA","16500"," "
"98570","ONALASKA","Lewis WA","16500","Centralia, WA","16500"," "
"98570","ONALASKA","Lewis WA","16500","Centralia, WA","16500"," "
"98571","PACIFIC BEACH","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98572","PE ELL","Lewis WA","16500","Centralia, WA","16500"," "
"98575","QUINAULT","Grays Harbor WA","10140","Aberdeen, WA","10140"," "
"98576","RAINIER","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98576","RAINIER","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98577","RAYMOND","Pacific WA",NA," ",NA," "
"98577","RAYMOND","Pacific WA",NA," ",NA," "
"98579","ROCHESTER","Lewis WA","16500","Centralia, WA","16500"," "
"98579","ROCHESTER","Thurston WA","36500","Olympia-Tumwater, WA","36500"," "
"98580","ROY","Pierce WA","42660","Seattle-Tacoma-Bellevue, WA","45104","Tacoma-Lakewood, WA"
"98581","RYDERWOOD","Cowlitz WA","31020","Longview, WA","31020"," "
"98582","SALKUM","Lewis WA","16500","Centralia, WA","16500"," "
"98582","SALKUM","Lewis WA","16500","Centralia, WA","16500"," "
"98584","SHELTON","Mason WA","43220","Shelton, WA","43220"," "
"98584","SHELTON","Mason WA","43220","Shelton, WA","43220"," "
"98584","SHELTON","Mason WA","43220","Shelton, WA","43220"," "
"98584","SHELTON","Mason WA","43220","Shelton, WA","43220"," "
