"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio","ZCTA5","MSA.code","MSA.name"
84,"Kentwood High School","Kent School District","B+",2002,"24:1","98042","42644","Seattle-Bellevue-Everett,WA"
85,"Sky Valley Education Center","Monroe School District","B+",882,"39:1","98272","42644","Seattle-Bellevue-Everett,WA"
86,"Touchet Elementary & High School","Touchet School District","B+",238,"12:1","98501","36500","Olympia-Tumwater,WA"
87,"Lake Stevens Senior High School","Lake Stevens School District","B+",1796,"23:1","98501","36500","Olympia-Tumwater,WA"
89,"North Kitsap High School","North Kitsap School District","B+",1148,"22:1","98370","14740","Bremerton-Silverdale,WA"
90,"Ilwaco Senior High School","Ocean Beach School District","B+",285,"20:1","98501","36500","Olympia-Tumwater,WA"
91,"Clallam Bay School","Cape Flattery School District","B+",119,"11:1","98501","36500","Olympia-Tumwater,WA"
92,"Secondary Academy for Success","Northshore School District","B+",128,"10:1","98021","42644","Seattle-Bellevue-Everett,WA"
93,"Sumner High School","Sumner School District","B+",1814,"25:1","98390","45104","Tacoma-Lakewood,WA"
95,"Anacortes High School","Anacortes School District","B+",809,"22:1","98221","34580","MountVernon-Anacortes,WA"
96,"West Valley High School","West Valley School District (Yakima)","B+",1040,"23:1","98908","49420","Yakima,WA"
97,"Klickitat School","Klickitat School District","B+",80,"8:1","98501","36500","Olympia-Tumwater,WA"
98,"Southridge High School","Kennewick School District","B+",1679,"24:1","99338","28420","Kennewick-Richland,WA"
99,"Columbia River High School","Vancouver School District","B+",1268,"22:1","98501","36500","Olympia-Tumwater,WA"
100,"Gig Harbor High School","Peninsula School District","B+",1741,"25:1","98501","36500","Olympia-Tumwater,WA"
102,"Bridgeport High School","Bridgeport School District","B+",209,"16:1","98813","48300","Wenatchee,WA"
103,"Mariner High School","Mukilteo School District","B+",2172,"21:1","98204","42644","Seattle-Bellevue-Everett,WA"
104,"Oakland High School","Tacoma School District","B",234,"18:1","98409","45104","Tacoma-Lakewood,WA"
105,"Northshore Home School Networks","Northshore School District","B",166,"23:1","98501","36500","Olympia-Tumwater,WA"
