"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio","ZCTA5","MSA.code","MSA.name"
554,"PACE Academy","North Mason School District","NG",39,"14:1","98501","36500","Olympia-Tumwater,WA"
555,"Toledo Alternative Options School","Toledo School District","NG",38,"27:1","98501","36500","Olympia-Tumwater,WA"
556,"Prosser Falls Education Center","Prosser School District","NG",38,"38:1","99350","28420","Kennewick-Richland,WA"
557,"Port Angeles Special Education Program","Port Angeles School District","NG",37,"—","98501","36500","Olympia-Tumwater,WA"
558,"Snoqualmie Parent Partnership Program","Snoqualmie Valley School District","NG",37,"—","98045","42644","Seattle-Bellevue-Everett,WA"
559,"LaCrosse High School","School District of La Crosse","NG",35,"4:1","98501","36500","Olympia-Tumwater,WA"
560,"Mount Baker Academy","Mount Baker School District","NG",35,"12:1","98220","13380","Bellingham,WA"
561,"East Grays Harbor Learning Opportunity Center","Elma School District","NG",34,"11:1","98501","36500","Olympia-Tumwater,WA"
562,"Bainbridge Special Education Services","Bainbridge Island School District","NG",34,"—","98110","14740","Bremerton-Silverdale,WA"
563,"Smokiam Alternative High School","Soap Lake School District","NG",34,"34:1","98851","34180","MosesLake,WA"
564,"Employment Transition Program","Federal Way Public Schools","NG",34,"11:1","98501","36500","Olympia-Tumwater,WA"
565,"Chelan School of Innovation","Lake Chelan School District","NG",34,"17:1","98816","48300","Wenatchee,WA"
566,"Columbia Basin Technical Skills Center","Wellpinit School District","NG",34,"17:1","98501","36500","Olympia-Tumwater,WA"
567,"Apolo High School","Winlock School District","NG",34,"34:1","98501","36500","Olympia-Tumwater,WA"
568,"REACH Center","Tacoma School District","NG",33,"—","98501","36500","Olympia-Tumwater,WA"
569,"Glenwood Secondary School","Glenwood School District","NG",33,"7:1","98501","36500","Olympia-Tumwater,WA"
570,"Off-Campus Special Education","Central Valley School District","NG",32,"11:1","98501","36500","Olympia-Tumwater,WA"
571,"Digital Electronic Contact Mary Walker Parent Partnership Program","Mary Walker School District","NG",32,"—","98501","36500","Olympia-Tumwater,WA"
572,"Snohomish Center","Snohomish School District","NG",32,"—","98290","42644","Seattle-Bellevue-Everett,WA"
573,"Maplewood Center","Edmonds School District","NG",32,"6:1","98020","42644","Seattle-Bellevue-Everett,WA"
574,"Palouse Junction High School","North Franklin School District","NG",32,"17:1","99326","28420","Kennewick-Richland,WA"
575,"Arlington Special Education School","Arlington School District","NG",31,"31:1","98501","36500","Olympia-Tumwater,WA"
576,"Gateway to Adult Transition Education (GATE)","Vancouver School District","NG",30,"15:1","98501","36500","Olympia-Tumwater,WA"
577,"Swiftwater Learning Center","Cle Elum-Roslyn School District","NG",29,"29:1","98941","21260","Ellensburg,WA"
579,"Central Kitsap (CK) Online Academy","Central Kitsap School District","NG",29,"171:1","98501","36500","Olympia-Tumwater,WA"
580,"Forks Alternative School","Quillayute Valley School District","NG",28,"28:1","98331","38820","PortAngeles,WA"
581,"Meridian Special Programs","Meridian School District","NG",28,"—","98226","13380","Bellingham,WA"
581,"Meridian Special Programs","Meridian School District","NG",28,"—","98226","34580","MountVernon-Anacortes,WA"
582,"Sentinel Tech Alternative School","Wahluke School District","NG",27,"27:1","98501","36500","Olympia-Tumwater,WA"
583,"Loowit High School","Kelso School District","NG",27,"27:1","98626","31020","Longview,WA"
585,"Gar-Pal High School","Garfield School District","NG",26,"52:1","98501","36500","Olympia-Tumwater,WA"
588,"Columbia Gorge School","Stevenson-Carson School District","NG",24,"15:1","98501","36500","Olympia-Tumwater,WA"
589,"Student Link Program","Vashon Island School District","NG",24,"—","98501","36500","Olympia-Tumwater,WA"
590,"Cva-Lopez Island","Lopez School District","NG",24,"48:1","98501","36500","Olympia-Tumwater,WA"
592,"iGrad Academy","Oak Harbor School District","NG",22,"—","98277","36020","OakHarbor,WA"
593,"A-3 Multiagency Adolescent Program","Spokane School District","NG",22,"7:1","98501","36500","Olympia-Tumwater,WA"
594,"Bellingham Re-Engagement Program","Bellingham School District","NG",22,"—","98225","13380","Bellingham,WA"
595,"Pend Oreille River School","Newport School District","NG",22,"19:1","99156","44060","Spokane-SpokaneValley,WA"
596,"Enumclaw School District Special Education Program","Enumclaw School District","NG",21,"21:1","98501","36500","Olympia-Tumwater,WA"
597,"Holistic Educational Alternatives for Rochester Teens (HEART) High School","Rochester School District","NG",20,"20:1","98501","36500","Olympia-Tumwater,WA"
599,"Brewster Alternative School","Brewster School District","NG",20,"—","98812","48300","Wenatchee,WA"
600,"REACH K-8 Home School Program","Methow Valley School District","NG",19,"14:1","98501","36500","Olympia-Tumwater,WA"
602,"Methow Valley Independent Learning Center","Methow Valley School District","NG",19,"13:1","98501","36500","Olympia-Tumwater,WA"
603,"Puget Sound High School","Highline School District","NG",18,"30:1","98148","42644","Seattle-Bellevue-Everett,WA"
604,"Northshore Online School","Northshore School District","NG",18,"—","98021","42644","Seattle-Bellevue-Everett,WA"
605,"Holden Village Community School","Lake Chelan School District","NG",18,"8:1","98816","48300","Wenatchee,WA"
606,"Day Reporting School","Tacoma School District","NG",18,"9:1","98406","45104","Tacoma-Lakewood,WA"
607,"Spokane Valley Tech","Central Valley School District","NG",17,"2:1","99206","44060","Spokane-SpokaneValley,WA"
608,"Ellensburg Learning Center","Ellensburg School District","NG",17,"17:1","98501","36500","Olympia-Tumwater,WA"
609,"Bridgeport Aurora High School","Bridgeport School District","NG",17,"17:1","98813","48300","Wenatchee,WA"
610,"Granite Falls Open Doors Program","Granite Falls School District","NG",16,"—","98501","36500","Olympia-Tumwater,WA"
611,"Kelso School District Special Education Program","Kelso School District","NG",16,"—","98501","36500","Olympia-Tumwater,WA"
612,"District Run Home School","Quillayute Valley School District","NG",15,"15:1","98331","38820","PortAngeles,WA"
613,"Highline Homeschool Center","Highline School District","NG",15,"—","98501","36500","Olympia-Tumwater,WA"
614,"Skykomish High School","Skykomish School District","NG",15,"4:1","98288","42644","Seattle-Bellevue-Everett,WA"
615,"Transition Day Students","Clover Park School District","NG",14,"—","98499","45104","Tacoma-Lakewood,WA"
616,"Kelso Virtual Academy","Kelso School District","NG",14,"19:1","98626","31020","Longview,WA"
617,"Gates Open Doors Program","Franklin Pierce School District","NG",13,"—","98501","36500","Olympia-Tumwater,WA"
618,"Merit School","Federal Way Public Schools","NG",13,"6:1","98501","36500","Olympia-Tumwater,WA"
619,"Parents As Partners Program","Port Angeles School District","NG",12,"—","98501","36500","Olympia-Tumwater,WA"
620,"North Mason Homelink Program","North Mason School District","NG",12,"6:1","98528","43220","Shelton,WA"
622,"Excelsior Youth Center School","Spokane School District","NG",11,"11:1","99208","44060","Spokane-SpokaneValley,WA"
623,"Mossyrock Academy","Mossyrock School District","NG",11,"—","98564","16500","Centralia,WA"
