"rank_data","s_name","s_district","n_rating","students_num","teacher_ratio"
"144","Winlock Senior High School","Winlock School District, WA","B","182","16:1"
"145","Kent Phoenix Academy","Kent School District, WA","B","302","20:1"
"146","Kettle Falls High School","Kettle Falls School District, WA","B","247","17:1"
"147","Thomas Jefferson High School","Federal Way Public Schools, WA","B","1830","22:1"
"148","Cedarcrest High School","Riverview School District, WA","B","970","22:1"
"149","Marysville-Pilchuck Pathways of Choice High School","Marysville School District, WA","B","1253","22:1"
"150","West Valley High School","West Valley School District (Spokane), WA","B","904","19:1"
"151","Wilbur Secondary School","Wilbur School District, WA","B","157","12:1"
"152","Wenatchee High School","Wenatchee School District, WA","B","2195","22:1"
"153","Ridgefield High School","Ridgefield School District, WA","B","681","25:1"
"154","Klahowya Secondary School","Central Kitsap School District, WA","B","930","21:1"
"155","A.G. West Black Hills High School","Tumwater School District, WA","B","867","21:1"
"156","Wilson High School","Tacoma School District, WA","B","1268","22:1"
"157","Meridian High School","Meridian School District, WA","B","500","19:1"
"158","Mark Morris High School","Longview School District, WA","B","918","20:1"
"159","Decatur High School","Federal Way Public Schools, WA","B","1318","21:1"
"160","Coupeville High School","Coupeville School District, WA","B","297","18:1"
"161","Zillah High School","Zillah School District, WA","B","441","20:1"
"162","Graham Kapowsin High School","Bethel School District, WA","B","1855","23:1"
"163","Kennewick High School","Kennewick School District, WA","B","1526","21:1"
"164","Hockinson High School","Hockinson School District, WA","B","700","21:1"
"165","Darrington High School","Darrington School District, WA","B","144","13:1"
"166","Skyview High School","Vancouver School District, WA","B","2035","23:1"
NA,"Colfax High School","Colfax School District, WA","B-","299","18:1"
NA,"Fife High School","Fife School District, WA","B-","778","22:1"
NA,"Avanti High School","Olympia School District, WA","B-","155","20:1"
NA,"Edmonds Heights K-12","Edmonds School District, WA","B-","506","52:1"
NA,"Davenport Senior High School","Davenport School District, WA","B-","325","17:1"
NA,"International School of Communications","Marysville School District, WA","B-","398","24:1"
NA,"Gov. John Rogers High School","Puyallup School District, WA","B-","1759","22:1"
NA,"R.A. Long High School","Longview School District, WA","B-","922","23:1"
NA,"Washington High School","Franklin Pierce School District, WA","B-","967","18:1"
NA,"Lakes High School","Clover Park School District, WA","B-","1397","19:1"
NA,"River HomeLink School","Battle Ground School District, WA","B-","971","25:1"
NA,"Washington Virtual Academy","Monroe School District, WA","B-","335","25:1"
NA,"Home Program","Renton School District, WA","B-","111","51:1"
NA,"Homelink Alternative School","Lake Stevens School District, WA","B-","151","25:1"
NA,"Emerald Ridge High School","Puyallup School District, WA","B-","1585","24:1"
NA,"Liberty High School","Liberty School District, WA","B-","121","12:1"
NA,"Blaine High School","Blaine School District, WA","B-","685","20:1"
NA,"Mount Rainier High School","Highline School District, WA","B-","1615","22:1"
NA,"Monroe High School","Monroe School District, WA","B-","1663","22:1"
NA,"Enumclaw Senior High School","Enumclaw School District, WA","B-","1396","21:1"
NA,"Eastmont Senior High School","Eastmont School District, WA","B-","1402","21:1"
NA,"Oakesdale High School","Oakesdale School District, WA","B-","37","6:1"
NA,"Mount Vernon High School","Mount Vernon School District, WA","B-","1962","20:1"
NA,"Technology Access Foundation Academy","Federal Way Public Schools, WA","B-","293","17:1"
NA,"Cleveland High School STEM","Seattle Public Schools, WA","B-","830","18:1"
NA,"Gates Secondary School","Franklin Pierce School District, WA","B-","185","11:1"
NA,"Lakeside High School","Nine Mile Falls School District, WA","B-","555","20:1"
NA,"Health Sciences & Human Services High School","Highline School District, WA","B-","370","20:1"
NA,"Toledo High School","Toledo School District, WA","B-","257","19:1"
NA,"Auburn Senior High School","Auburn School District, WA","B-","1554","19:1"
NA,"Sequim Senior High School","Sequim School District, WA","B-","1025","20:1"
NA,"Colville Senior High School","Colville School District, WA","B-","553","18:1"
NA,"Napavine Junior/Senior High School","Napavine School District, WA","B-","352","17:1"
NA,"Selah High School","Selah School District, WA","B-","1029","23:1"
NA,"Rosalia School","Rosalia School District, WA","B-","203","10:1"
NA,"Cheney High School","Cheney School District, WA","B-","1246","20:1"
NA,"Lake Roosevelt Jr./Sr. High School","Grand Coulee Dam School District, WA","B-","338","15:1"
NA,"Nooksack Valley High School","Nooksack Valley School District, WA","B-","494","20:1"
NA,"W.F. West High School","Chehalis School District, WA","B-","972","21:1"
NA,"Prairie High School","Battle Ground School District, WA","B-","1553","22:1"
NA,"Federal Way High School","Federal Way Public Schools, WA","B-","1634","21:1"
NA,"Mount Baker Senior High School","Mount Baker School District, WA","B-","562","18:1"
NA,"Olympic High School","Central Kitsap School District, WA","B-","1168","21:1"
NA,"Internet Academy","Federal Way Public Schools, WA","B-","275","19:1"
NA,"Lynden High School","Lynden School District, WA","B-","847","21:1"
NA,"Toutle Lake High School","Toutle Lake School District, WA","B-","302","18:1"
NA,"Ocosta Junior/Senior High School","Ocosta School District, WA","B-","298","15:1"
NA,"Wishkah Valley School","Wishkah Valley School District, WA","B-","148","10:1"
NA,"Ritzville High School","Ritzville School District, WA","B-","134","16:1"
NA,"Pomeroy Junior/Senior High School","Pomeroy School District, WA","B-","161","13:1"
NA,"Puyallup High School","Puyallup School District, WA","B-","1664","22:1"
NA,"Hela High School","Evergreen Public Schools, WA","B-","439","19:1"
NA,"Lincoln High School","Tacoma School District, WA","B-","1407","19:1"
NA,"Cascade High School","Cascade School District, WA","B-","450","18:1"
NA,"Academy of Citizenship & Empowerment","Highline School District, WA","B-","433","23:1"
NA,"Kent-Meridian High School","Kent School District, WA","B-","2188","23:1"
NA,"Reardan Middle-Senior High School","Reardan-Edwall School District, WA","B-","301","18:1"
NA,"Dayton High School","Dayton School District, WA","B-","143","10:1"
NA,"River View High School","Finley School District, WA","B-","311","19:1"
NA,"Medical Lake High School","Medical Lake School District, WA","B-","530","20:1"
NA,"North Mason Senior High School","North Mason School District, WA","B-","745","21:1"
NA,"La Center High School","La Center School District, WA","B-","555","23:1"
NA,"Explorer Academy","South Kitsap School District, WA","B-","202","25:1"
NA,"Pe Ell School","Pe Ell School District, WA","B-","259","12:1"
NA,"Port Angeles High School","Port Angeles School District, WA","B-","1150","18:1"
NA,"Goldendale High School","Goldendale School District, WA","B-","319","17:1"
